poet_name,cluster,umap_x,umap_y
آمنة بنت عتيبة,1,6.241146,1.7576879
آمنة بنت وهب,3,6.604329,-1.0146519
أبو أذينه,0,6.259836,-2.812418
أبو الحكيم المري,10,7.5529127,4.3874254
أبو الذيال اليهودي,3,7.351795,-0.5761474
أبو الفضل الكناني,1,6.3048396,1.5644548
أبو اللحام التغلبي,5,6.8052616,5.386531
أبو المثلم الهذلي,-1,5.9897437,2.5562375
أبو بثينه الهذلي,6,7.4283,6.1630917
أبو حسان الفزاري,6,7.7922816,5.8567095
أبو حمضة اليهودي,3,7.0333643,-0.44612813
أبو حنش التغلبي,4,7.837707,3.234258
أبو حية الفزاري,5,6.5725255,5.7044725
أبو سلمى ربيعة المزني,3,7.067472,1.236413
أبو عدي النمري,5,6.5958924,5.697191
أبو عفك,3,6.822046,-0.51596904
أبو قردودة الطائي,3,7.339354,1.343727
أبو قلابة الهذلي,11,6.313062,3.774901
أبو قيس بن رفاعة,3,6.676741,-1.5180551
أحيحة بن الجلاح,7,6.7855983,2.308099
أخت الأسود بن غفار,-1,6.0988674,0.8987536
أربد الذبياني,5,6.8528824,5.4705453
أربد بن ضابئ,3,7.673325,0.06539172
أرطأة الفزاري,9,5.1324296,5.437804
أروى بنت الحباب,5,6.6439586,4.975566
أزبر بن غزي,-1,5.723081,0.53697073
أسماء التغلبية,2,7.3112183,2.137928
أسماء المرية,9,5.904269,5.616588
أعشى باهلة,3,6.501121,-1.2590691
أعصر بن سعد,9,5.163387,5.64653
أفنون,8,5.037817,4.16013
أم أبي جدابة,7,6.4737124,2.313169
أم الأغر بنت ربيعة التغلبية,11,6.4436984,3.6021204
أم الضحاك المحاربية,3,6.415388,-0.9170669
أم النحيف,3,6.974842,-0.63434225
أم موسى الكلابية,3,7.341139,0.4565836
أميمة بنت أمية,3,7.0734515,0.70639306
أميمة بنت عبد المطلب,3,6.6101413,-0.70245016
أميمة بنت عبد شمس,3,6.586201,-0.74066186
أوس العبدي,3,6.6846123,0.6403218
أوس الهجيمي,6,7.7286186,5.5124745
أوس بن حارثة,3,7.5050073,-0.70747644
أوس بن حجر,9,5.4379687,5.553155
ابن أم حزنة,11,6.2910414,4.1824446
ابن الأطنابة,3,7.492944,0.59876704
ابن الرعلاء,-1,7.5332074,2.5109854
ابن العجلان النهدي,8,5.4711266,3.4768162
ابن المضلَّل,7,7.0192647,1.7202967
ابن ثور العامري,9,5.768613,4.627268
ابن جوين الطائي,4,7.9638577,2.7965093
ابن زرعة الباهلي,3,7.656722,0.91903996
ابن شعواء الفزاري,6,7.5067034,6.667052
ابن عليق الطائي,3,7.25398,1.3615917
ابن عمرو الكندي,3,7.7197304,1.029415
ابن فكهة,3,6.547806,-1.1806698
ابن كلاب العقيلي,6,7.843909,5.92919
ابن مالك الحميري,-1,7.69141,2.296346
ابنة أبي الجدعاء,7,6.4740653,2.4505737
ابنة حكيم بن عمرو العبدية,2,7.6628118,1.5287218
ابو دُاود الإيادي,4,7.4869785,3.2265348
الأحبش التميمي,0,5.914046,-2.4648666
الأخضر الفزاري,5,6.3737745,5.1594205
الأخنس التغلبي,8,5.6103244,3.551827
الأدير الكلبي,3,7.5191035,-0.54487264
الأسعر الجعفي,9,5.286249,5.593673
الأسفع الأرحبي,-1,6.0077434,5.219866
الأسلوم اليامي,2,7.538128,1.5456563
الأسود التغلبي,7,6.880608,2.100142
الأسود النهشلي,3,6.7592793,-1.0194783
الأشتر الحمامي,3,7.8591146,0.40863454
الأشعث الجاشي,6,7.597095,6.595595
الأشعث بن عابس,3,7.2374463,0.12622528
الأضبط السعدي,-1,5.991139,4.442162
الأعرج المري,6,6.8367667,6.175709
الأعسر الضبي,3,7.5668454,0.89858943
الأعور بن عمرو الازدي,3,6.8182607,-0.40488344
الأفوة الأودي,11,6.2387476,3.7732186
البراق,8,5.5712724,3.261884
البسوس بنت منقذ التميمية,3,6.7715235,-0.14816318
البُرجُمي,10,6.764374,4.2604704
الجراح الهمداني,9,5.6300797,5.586589
الجميح الأسدي,3,7.064989,0.37062916
الجندل الفزاري,9,4.899933,5.05048
الجوزاء بنت عروة البصرية,0,6.141674,-2.7417994
الجيداء بنت زاهر الزبيدية,3,6.9870086,0.8541249
الحارث الجرمي,8,5.5270367,4.7343283
الحارث الحضرمي,5,6.6345444,5.996006
الحارث المذحجي,10,7.581438,4.022929
الحارث بن الحصين,-1,5.8977666,0.6009121
الحارث بن حلزة,11,6.6175117,3.4370372
الحارث بن زهير,3,7.9208617,0.5461012
الحارث بن صريم الوادعي,8,5.1928387,4.0590706
الحارث بن ظالم المري,0,6.3546367,-2.7196763
الحارث بن عباد,10,7.0718265,4.01318
الحارث بن مر,2,7.4450917,1.780257
الحسل الهمداني,4,8.019964,3.0830362
الحشاش الأصغر,8,5.719207,3.0577536
الحصين بن حمام الفزاري,9,5.5950165,5.166513
الحكم الفزاري,5,6.4379663,5.802893
الخرنق بنت بدر,11,6.4722686,3.3970702
الخنساء,7,6.242334,2.923703
الخنساء بنت التيجان,-1,5.954896,2.5039742
الخنساء بنت زهير,0,5.9623,-2.4295719
الدحداحة الفقيمية,0,6.2666807,-2.7165163
الدعجاء بنت وهب,0,6.083984,-2.4922338
الدهنا بنت مسحل,0,6.4768662,-2.1382127
الراشاء بن نهار,3,7.436338,-0.20797692
الراعي المري,3,6.643321,-0.6417751
الراعي الهمداني,10,7.1138244,4.3122525
الربيع بن أبي الحقيق,3,6.8806825,-0.35149878
الربيع بن زياد العبسي,0,6.387485,-2.2223103
الربيع بن زياد الكلبي,3,7.225758,1.1431519
الربيع بن عقيل,3,6.4781513,-0.77833945
الزفيان,4,7.7398195,3.162229
السفاح التغلبي,4,7.506439,3.6335013
السلكة أم السليك,-1,7.886095,2.1317425
السليك بن السلكة,6,7.2064495,6.103764
السموأل,-1,5.836243,3.9233487
الشنفرى,7,6.3964105,2.5562854
الطفيل الغنوي,9,5.5972195,5.706948
العجلان بن خليد,5,6.563709,5.3289447
العقار بن سليل,8,5.31961,4.1738343
العنبر الخضم,-1,6.0728984,0.9996973
العوراء الذبيانية,4,7.860404,3.410776
العوراء اليربوعية,3,7.246962,-0.22897089
الغطمش الضبي,0,6.3232484,-2.309131
الفارعة بنت معاوية,0,6.0450163,-2.3007438
الفند الزماني,3,7.18095,1.0410268
القعقاع بن شبث اليهودي,3,7.231694,-1.1819105
الكذاب الطابخي,3,7.3083634,0.36716953
الكذاب الكلبي,-1,6.195302,0.9912074
الكلحبة العرني,6,7.653988,5.8924255
المتلمس الضبعي,9,5.7069755,5.582038
المتنخل,7,6.4185038,2.7530966
المثقب العبدي,10,7.2267737,4.2823014
المثلم الفزاري,6,7.2502804,6.724237
المثلم المري,8,5.282655,3.6351328
المثلم بن عمرو التنوخي,0,6.5376525,-2.0943525
المثلم بن قرط البلوي,0,6.473295,-2.6952815
