cluster,label,size,within_similarity,mean_productivity,median_productivity,total_poems,mean_centrality,top_poets
-1,Outliers,28,0.8613340258598328,5.571428571428571,2.0,156,0.8230225678001132,عمرو بن كلثوم (43); طرفة بن العبد (34); السموأل (15); صخر الغي (13); الأضبط السعدي (5)
0,Cluster 0,27,0.5368804335594177,4.962962962962963,2.0,134,0.4091777795994723,بلعاء بن قيس الكناني (23); الحارث بن ظالم المري (20); ذو الإصبع العدواني (20); صيفي الأسلت (20); الربيع بن زياد العبسي (9)
1,Cluster 1,5,0.8951122164726257,3.4,2.0,17,0.8405921220779419,بشامة بن الغدير (11); أبو الفضل الكناني (2); الهيفاء بنت صبيح القضاعية (2); آمنة بنت عتيبة (1); تماضر بنت الشريد (1)
2,Cluster 2,6,0.9491735696792603,1.1666666666666667,1.0,7,0.8618756333986918,عبد يغوث الحارثي (2); أسماء التغلبية (1); ابنة حكيم بن عمرو العبدية (1); الأسلوم اليامي (1); الحارث بن مر (1)
3,Cluster 3,68,0.8337469696998596,4.720588235294118,1.0,321,0.8004833372200236,الأسود النهشلي (71); حاجز الأزدي (29); سلامة بن جندل (25); المرقش الأكبر (20); الجميح الأسدي (14)
4,Cluster 4,11,0.9874092936515808,2.909090909090909,1.0,32,0.8736087842421099,الزفيان (13); السفاح التغلبي (6); جحيش الهمداني (3); ابو دُاود الإيادي (2); جبلة بن الحارث (2)
5,Cluster 5,12,0.9459964632987976,1.1666666666666667,1.0,14,0.8418981780608495,أبو اللحام التغلبي (3); أبو حية الفزاري (1); أبو عدي النمري (1); أربد الذبياني (1); أروى بنت الحباب (1)
6,Cluster 6,20,0.9927657246589661,2.6,1.0,52,0.8660791397094727,السليك بن السلكة (17); سنان المري (8); نهيكة الفزاري (4); هند بنت الخس (4); الكلحبة العرني (2)
7,Cluster 7,16,0.9922106862068176,25.5625,3.0,409,0.8821848891675472,عدي بن زيد (157); الخنساء (99); امرؤ القيس (64); أحيحة بن الجلاح (32); الشنفرى (26)
8,Cluster 8,20,0.9950297474861145,21.1,4.0,422,0.8800902217626572,عنترة بن شداد (142); دريد بن الصمة (73); زهير بن أبي سلمى (53); عدي بن ربيعة (51); علقمة الفحل (24)
9,Cluster 9,25,0.9901828765869141,20.28,3.0,507,0.873167119026184,النابغة الذبياني (80); زيد الخيل الطائي (66); تأبط شراً (55); حاتم الطائي (54); أوس بن حجر (53)
10,Cluster 10,13,0.9972712993621826,11.076923076923077,3.0,144,0.8746869059709402,بشر بن أبي خازم (51); المسيب بن علس (31); المثقب العبدي (22); مالك بن حريم الهمداني (13); الحارث بن عباد (10)
11,Cluster 11,9,0.9648268818855286,12.555555555555555,11.0,113,0.8660788734753927,عمرو بن قميئة (33); الأفوة الأودي (28); الحارث بن حلزة (17); الخرنق بنت بدر (15); قس بن ساعدة (11)
