,Absi,Asadi,Azdi,Bakri,Dhubiyani,Fazari,Ghanawi,Hamdani,Hudhali,Kinani,Murri,Taghlibi,Tai,Tamimi,Unknown
Cluster 1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,4
Cluster 3,0,1,3,0,0,0,0,0,1,0,2,0,2,1,58
Cluster 0,1,1,0,0,0,0,0,0,0,2,1,0,0,1,21
Cluster 10,0,0,0,0,0,1,0,3,0,0,2,0,0,0,7
Cluster 5,0,0,0,0,1,3,0,0,0,0,1,1,0,0,6
Outliers,0,0,0,0,0,0,0,0,1,0,2,0,0,1,24
Cluster 6,0,0,0,0,0,6,1,0,1,0,2,2,0,0,8
Cluster 4,0,0,0,0,1,0,0,3,0,0,0,2,1,0,4
Cluster 11,0,0,0,0,0,0,0,0,1,0,0,1,0,0,7
Cluster 7,0,0,0,1,0,0,0,0,0,0,1,1,0,0,13
Cluster 9,0,0,0,0,1,6,1,1,0,0,1,0,2,0,13
Cluster 2,0,0,0,0,0,0,0,0,0,0,0,1,0,0,5
Cluster 8,0,0,0,0,0,1,0,0,1,0,1,2,0,0,15
