poet,rank,neighbor,similarity
آمنة بنت عتيبة,1,بشامة بن الغدير,0.9130152463912964
آمنة بنت عتيبة,2,جبلة بن الحارث,0.9044433832168579
آمنة بنت عتيبة,3,العجلان بن خليد,0.9034380316734314
آمنة بنت عتيبة,4,الأسفع الأرحبي,0.9032502770423889
آمنة بنت عتيبة,5,تماضر بنت الشريد,0.9030225872993469
آمنة بنت وهب,1,الأسود النهشلي,0.8853194117546082
آمنة بنت وهب,2,ضمرة بن ضمرة,0.862101674079895
آمنة بنت وهب,3,أم الضحاك المحاربية,0.8581869006156921
آمنة بنت وهب,4,الربيع بن أبي الحقيق,0.855213463306427
آمنة بنت وهب,5,أميمة بنت عبد المطلب,0.8495810627937317
أبو أذينه,1,صيفي الأسلت,0.6994050145149231
أبو أذينه,2,الحارث بن ظالم المري,0.6878914833068848
أبو أذينه,3,الربيع بن زياد العبسي,0.6460320353507996
أبو أذينه,4,ذو الإصبع العدواني,0.6152926683425903
أبو أذينه,5,وداك المازني,0.5975936055183411
أبو الحكيم المري,1,المثقب العبدي,0.9990483522415161
أبو الحكيم المري,2,يزيد الشني,0.9989897012710571
أبو الحكيم المري,3,يزيد الأرحبي,0.9989131093025208
أبو الحكيم المري,4,مالك بن حريم الهمداني,0.9988593459129333
أبو الحكيم المري,5,الحارث بن عباد,0.9987094402313232
أبو الذيال اليهودي,1,هناءة بن مالك الأزدي,0.9571027755737305
أبو الذيال اليهودي,2,الربيع بن أبي الحقيق,0.953589916229248
أبو الذيال اليهودي,3,سلامة بن جندل,0.9482676982879639
أبو الذيال اليهودي,4,الجميح الأسدي,0.9389612674713135
أبو الذيال اليهودي,5,الأسود النهشلي,0.937637209892273
أبو الفضل الكناني,1,بشامة بن الغدير,0.9590592384338379
أبو الفضل الكناني,2,المرقش الأكبر,0.9556950330734253
أبو الفضل الكناني,3,الشنفرى,0.9539358615875244
أبو الفضل الكناني,4,أبو المثلم الهذلي,0.9532724022865295
أبو الفضل الكناني,5,أسماء التغلبية,0.9497290849685669
أبو اللحام التغلبي,1,المفضل النكري,0.9985862970352173
أبو اللحام التغلبي,2,ثعلبة المازني,0.9981627464294434
أبو اللحام التغلبي,3,النابغة الذبياني,0.9981025457382202
أبو اللحام التغلبي,4,مالك بن حريم الهمداني,0.9980214238166809
أبو اللحام التغلبي,5,الحصين بن حمام الفزاري,0.9979190826416016
أبو المثلم الهذلي,1,الخنساء,0.9959056377410889
أبو المثلم الهذلي,2,البراق,0.9955461025238037
أبو المثلم الهذلي,3,عنترة بن شداد,0.9954942464828491
أبو المثلم الهذلي,4,قبيصة بن النصراني,0.9954485893249512
أبو المثلم الهذلي,5,المتنخل,0.9951725602149963
أبو بثينه الهذلي,1,الكلحبة العرني,0.999443531036377
أبو بثينه الهذلي,2,سنان المري,0.9983932971954346
أبو بثينه الهذلي,3,السليك بن السلكة,0.9983856678009033
أبو بثينه الهذلي,4,أوس الهجيمي,0.9983818531036377
أبو بثينه الهذلي,5,تأبط شراً,0.9980863928794861
أبو حسان الفزاري,1,ابن كلاب العقيلي,0.9999995231628418
أبو حسان الفزاري,2,النابغة التغلبي,0.9998757839202881
أبو حسان الفزاري,3,المعان بن روق,0.9993361234664917
أبو حسان الفزاري,4,الكلحبة العرني,0.9991450309753418
أبو حسان الفزاري,5,سنان المري,0.9990683794021606
أبو حمضة اليهودي,1,الأسود النهشلي,0.923159658908844
أبو حمضة اليهودي,2,الربيع بن أبي الحقيق,0.9214855432510376
أبو حمضة اليهودي,3,سلامة بن جندل,0.9167897701263428
أبو حمضة اليهودي,4,جبار بن قرط,0.9158172607421875
أبو حمضة اليهودي,5,أبو الذيال اليهودي,0.9095116853713989
أبو حنش التغلبي,1,ذؤيب بن كعب,0.987511396408081
أبو حنش التغلبي,2,الزفيان,0.9872434139251709
أبو حنش التغلبي,3,جحيش الهمداني,0.9863037467002869
أبو حنش التغلبي,4,الحارث المذحجي,0.9862862229347229
أبو حنش التغلبي,5,السفاح التغلبي,0.9858559966087341
أبو حية الفزاري,1,هشام المري,0.9618676900863647
أبو حية الفزاري,2,أبو عدي النمري,0.9592066407203674
أبو حية الفزاري,3,الحكم الفزاري,0.9591978192329407
أبو حية الفزاري,4,العجلان بن خليد,0.9537240862846375
أبو حية الفزاري,5,الحارث الحضرمي,0.9533653259277344
أبو سلمى ربيعة المزني,1,الفند الزماني,0.9687532186508179
أبو سلمى ربيعة المزني,2,حاجز الأزدي,0.9686943292617798
أبو سلمى ربيعة المزني,3,محرز الضبي,0.9664428234100342
أبو سلمى ربيعة المزني,4,جبلة بن الحارث,0.9661946296691895
أبو سلمى ربيعة المزني,5,المرقش الأكبر,0.9645481109619141
أبو عدي النمري,1,الحارث الحضرمي,0.9966906905174255
أبو عدي النمري,2,ثعلبة المازني,0.996181070804596
أبو عدي النمري,3,الأعرج المري,0.9950138330459595
أبو عدي النمري,4,الممزق العبدي,0.9945216774940491
أبو عدي النمري,5,أبو اللحام التغلبي,0.9945192933082581
أبو عفك,1,الربيع بن أبي الحقيق,0.8504895567893982
أبو عفك,2,الأسود النهشلي,0.8496705293655396
أبو عفك,3,ضمرة بن ضمرة,0.8400816917419434
أبو عفك,4,سلامة بن جندل,0.8356972336769104
أبو عفك,5,جبار بن قرط,0.8295624256134033
أبو قردودة الطائي,1,حاجز الأزدي,0.9862111806869507
أبو قردودة الطائي,2,الفند الزماني,0.9850286245346069
أبو قردودة الطائي,3,الأعسر الضبي,0.9844405651092529
أبو قردودة الطائي,4,جبلة بن الحارث,0.9843772649765015
أبو قردودة الطائي,5,ابن الرعلاء,0.9837133884429932
أبو قلابة الهذلي,1,الخرنق بنت بدر,0.9984884858131409
أبو قلابة الهذلي,2,الأضبط السعدي,0.9983575940132141
أبو قلابة الهذلي,3,الأفوة الأودي,0.9983409643173218
أبو قلابة الهذلي,4,عمرو بن قميئة,0.9982904195785522
أبو قلابة الهذلي,5,السموأل,0.998281717300415
أبو قيس بن رفاعة,1,الأسود النهشلي,0.9427685141563416
أبو قيس بن رفاعة,2,ضمرة بن ضمرة,0.9310919046401978
أبو قيس بن رفاعة,3,أم الضحاك المحاربية,0.9130510091781616
أبو قيس بن رفاعة,4,بلعاء بن قيس الكناني,0.9096198081970215
أبو قيس بن رفاعة,5,الربيع بن أبي الحقيق,0.9070261716842651
أحيحة بن الجلاح,1,عدي بن زيد,0.9984996318817139
أحيحة بن الجلاح,2,الخنساء,0.9984362125396729
أحيحة بن الجلاح,3,امرؤ القيس,0.9984323978424072
أحيحة بن الجلاح,4,الخرنق بنت بدر,0.9981958866119385
أحيحة بن الجلاح,5,عمرو بن قميئة,0.9981765747070312
أخت الأسود بن غفار,1,العنبر الخضم,0.8523738384246826
أخت الأسود بن غفار,2,الكذاب الكلبي,0.8485454320907593
أخت الأسود بن غفار,3,يربوع بن حنظلة,0.8461375832557678
أخت الأسود بن غفار,4,الربيع بن أبي الحقيق,0.8437705636024475
أخت الأسود بن غفار,5,بشامة بن الغدير,0.8426814079284668
أربد الذبياني,1,أبو عدي النمري,0.9892991781234741
أربد الذبياني,2,ثعلبة المازني,0.989188551902771
أربد الذبياني,3,أبو اللحام التغلبي,0.9887984395027161
أربد الذبياني,4,المفضل النكري,0.9884950518608093
أربد الذبياني,5,أبو قلابة الهذلي,0.9876202344894409
أربد بن ضابئ,1,هناءة بن مالك الأزدي,0.8169782757759094
أربد بن ضابئ,2,ثعلبة بن بكر الأزدي,0.8016523718833923
أربد بن ضابئ,3,أم موسى الكلابية,0.8000935316085815
أربد بن ضابئ,4,ابن الأطنابة,0.7952229976654053
أربد بن ضابئ,5,امرؤ القيس السكوني,0.7948882579803467
أرطأة الفزاري,1,بداء بن سليمان,0.9964483976364136
أرطأة الفزاري,2,يزيد بن مجالد الفزاري,0.9963939785957336
أرطأة الفزاري,3,أعصر بن سعد,0.9954801201820374
أرطأة الفزاري,4,يزيد بن الصعق,0.9949733018875122
أرطأة الفزاري,5,الأسعر الجعفي,0.994772732257843
أروى بنت الحباب,1,هبل الكلبي,0.8932387828826904
أروى بنت الحباب,2,تماضر بنت الشريد,0.8929473757743835
أروى بنت الحباب,3,أربد الذبياني,0.8911072015762329
أروى بنت الحباب,4,العجلان بن خليد,0.8877986669540405
أروى بنت الحباب,5,أبو عدي النمري,0.882384181022644
أزبر بن غزي,1,المرار الكلبي,0.6251786947250366
أزبر بن غزي,2,الحارث بن الحصين,0.5819023847579956
أزبر بن غزي,3,هشام المري,0.5257763266563416
أزبر بن غزي,4,العجلان بن خليد,0.48948466777801514
أزبر بن غزي,5,الدهنا بنت مسحل,0.48915353417396545
أسماء التغلبية,1,جحيش الهمداني,0.9912035465240479
أسماء التغلبية,2,امرؤ القيس,0.9911506772041321
أسماء التغلبية,3,عبد المسيح بن عسلة,0.9909614324569702
أسماء التغلبية,4,الحارث بن حلزة,0.9909144639968872
أسماء التغلبية,5,عنترة بن شداد,0.9908552169799805
أسماء المرية,1,حاتم الطائي,0.9961414337158203
أسماء المرية,2,تأبط شراً,0.9958271384239197
أسماء المرية,3,الطفيل الغنوي,0.9958236217498779
أسماء المرية,4,زيد الخيل الطائي,0.9957977533340454
أسماء المرية,5,أوس بن حجر,0.995786726474762
أعشى باهلة,1,الأسود النهشلي,0.9214606881141663
أعشى باهلة,2,ضمرة بن ضمرة,0.8989861607551575
أعشى باهلة,3,الربيع بن أبي الحقيق,0.8844751119613647
أعشى باهلة,4,الربيع بن زياد العبسي,0.884373664855957
أعشى باهلة,5,هند بنت معبد,0.8694705963134766
أعصر بن سعد,1,أوس بن حجر,0.998698353767395
أعصر بن سعد,2,زيد الخيل الطائي,0.9985691905021667
أعصر بن سعد,3,الكلحبة العرني,0.9985501766204834
أعصر بن سعد,4,تأبط شراً,0.9984720349311829
أعصر بن سعد,5,الأسعر الجعفي,0.9984201788902283
أفنون,1,دوسر بن هذيل,0.9954090118408203
أفنون,2,البراق,0.9943087100982666
أفنون,3,الحارث بن صريم الوادعي,0.9940739870071411
أفنون,4,زبان بن سيار الفزاري,0.9940531253814697
أفنون,5,جحدر الوائلي,0.9936842322349548
أم أبي جدابة,1,عدي بن زيد,0.9914000034332275
أم أبي جدابة,2,بيهس الغطفاني,0.9905359148979187
أم أبي جدابة,3,أحيحة بن الجلاح,0.9903141260147095
أم أبي جدابة,4,لقيط بن يعمر الإيادي,0.9902411103248596
أم أبي جدابة,5,الخرنق بنت بدر,0.9899875521659851
أم الأغر بنت ربيعة التغلبية,1,أبو قلابة الهذلي,0.9817273616790771
أم الأغر بنت ربيعة التغلبية,2,قس بن ساعدة,0.9814428091049194
أم الأغر بنت ربيعة التغلبية,3,الخرنق بنت بدر,0.9802191257476807
