poet_name,avg_similarity,degree
المرقش الأكبر,0.8899813294410706,195
حاجز الأزدي,0.8885201215744019,192
بشامة بن الغدير,0.8884126543998718,193
الجميح الأسدي,0.8869267106056213,198
محرز الضبي,0.8867201805114746,193
امرؤ القيس,0.8859525322914124,188
الفند الزماني,0.885759174823761,192
عدي بن زيد,0.8851937651634216,189
أبو المثلم الهذلي,0.8849236369132996,188
الشنفرى,0.8845469951629639,186
ابن المضلَّل,0.8841105699539185,188
الأعسر الضبي,0.8839277625083923,194
أحيحة بن الجلاح,0.8837656378746033,187
الخنساء,0.8837223649024963,186
البراق,0.8834685683250427,186
معقر بن حمار البارقي,0.8831355571746826,186
عنترة بن شداد,0.8828845024108887,183
المتنخل,0.8828730583190918,184
جساس بن مرة,0.8828509449958801,185
عدي بن ربيعة,0.8823556900024414,182
ابن زرعة الباهلي,0.8822644948959351,191
أسماء التغلبية,0.8821373581886292,190
جبلة بن الحارث,0.8819774389266968,189
الأسود التغلبي,0.8819441795349121,187
عبد المسيح بن عسلة,0.8818168044090271,186
النابغة الحارثي,0.8817890286445618,186
زبان بن سيار الفزاري,0.88141268491745,182
قبيصة بن النصراني,0.8812975883483887,184
أفنون,0.8812912106513977,185
لقيط بن يعمر الإيادي,0.881233811378479,188
الخرنق بنت بدر,0.8811940550804138,183
عمرو بن قميئة,0.8811278939247131,183
الحارث بن حلزة,0.8809998631477356,183
صخر الغي,0.880987286567688,182
ابن العجلان النهدي,0.8808374404907227,183
زهير بن أبي سلمى,0.880830705165863,182
قس بن ساعدة,0.8808191418647766,183
علقمة الفحل,0.880739688873291,183
بكر الجرهمي,0.8807241320610046,187
الأفوة الأودي,0.880661129951477,183
بيهس الغطفاني,0.8803404569625854,185
المثلم المري,0.8803277015686035,183
ابن ثور العامري,0.8803009986877441,183
الأخنس التغلبي,0.8801380395889282,183
السموأل,0.8801341652870178,183
بشر بن أبي خازم,0.8798724412918091,181
المنخل اليشكري,0.8798710107803345,185
دريد بن الصمة,0.8798600435256958,182
أبو قلابة الهذلي,0.8798328638076782,182
أبو قردودة الطائي,0.8796859383583069,189
ابن عليق الطائي,0.8795908093452454,187
الحارث بن صريم الوادعي,0.8794119954109192,185
عمرو بن كلثوم,0.8792863488197327,181
المرقش الأصغر,0.8792620897293091,194
أم أبي جدابة,0.8790380954742432,188
طرفة بن العبد,0.8789486885070801,182
دوسر بن هذيل,0.8788319826126099,184
الحارث بن عباد,0.8788172602653503,182
المسيب بن علس,0.8788020014762878,180
المتلمس الضبعي,0.8787708878517151,181
عبد يغوث الحارثي,0.8786102533340454,191
المشؤوم,0.8785911798477173,182
الأسلوم اليامي,0.8784248232841492,189
الحارث الجرمي,0.8782944679260254,181
جحدر الوائلي,0.8782161474227905,182
ابن الرعلاء,0.8782002925872803,187
لقيط بن زرارة,0.8781964182853699,182
العقار بن سليل,0.8781940937042236,182
حاتم الطائي,0.8781463503837585,182
عروة بن الورد,0.8780470490455627,181
الحشاش الأصغر,0.8780377507209778,184
ابو دُاود الإيادي,0.8780285716056824,182
جحيش الهمداني,0.877981424331665,185
النابغة الذبياني,0.8779060244560242,182
السفاح التغلبي,0.8778113722801208,181
الأضبط السعدي,0.8777869343757629,182
الزفيان,0.8775511384010315,181
بشر الفزاري,0.8772427439689636,182
المثقب العبدي,0.8771717548370361,180
البُرجُمي,0.8770990967750549,181
قيس بن الحدادية,0.8770095109939575,181
الحصين بن حمام الفزاري,0.8769546151161194,181
مالك بن حريم الهمداني,0.8768618106842041,181
الهذيل الأكبر التغلبي,0.8767829537391663,182
ابن أم حزنة,0.8767378330230713,180
زيد الخيل الطائي,0.8767306804656982,181
يزيد بن سنان المري,0.8766860961914062,183
الحارث المذحجي,0.8766635060310364,180
ابن مالك الحميري,0.8765924572944641,185
الطفيل الغنوي,0.8764718770980835,181
يزيد الشني,0.8764703273773193,180
أوس بن حجر,0.876162588596344,181
ذؤيب بن كعب,0.876131534576416,181
بداء بن سليمان,0.8759405016899109,180
الأسفع الأرحبي,0.8758000731468201,182
جبر المعاوي,0.8753615617752075,180
الراعي الهمداني,0.875340461730957,180
تأبط شراً,0.8749528527259827,180
أسماء المرية,0.8748697638511658,181
الأسعر الجعفي,0.874782919883728,180
هبيرة المري,0.8745641112327576,180
شمر الحنفي,0.8743834495544434,191
أبو الحكيم المري,0.874362587928772,180
همام التميمي,0.8740854859352112,181
امرؤ القيس السكوني,0.873873233795166,188
ابنة أبي الجدعاء,0.873737096786499,184
يزيد بن الصعق,0.8736701011657715,179
الحسل الهمداني,0.8730867505073547,180
امرؤ القيس الكلبي,0.8725959658622742,179
أوس الهجيمي,0.8723659515380859,179
بشر بن عمرو,0.8722315430641174,179
يزيد الأرحبي,0.8721880912780762,179
أعصر بن سعد,0.8721136450767517,180
أرطأة الفزاري,0.8719061613082886,179
يزيد ذو القفا,0.8718349933624268,178
يربوع بن حنظلة,0.8717979192733765,191
أبو اللحام التغلبي,0.8717917799949646,180
أبو بثينه الهذلي,0.8716627359390259,180
سنان المري,0.8715726137161255,179
السليك بن السلكة,0.8712732195854187,179
الكلحبة العرني,0.8711064457893372,178
ابن جوين الطائي,0.8710981011390686,184
المفضل النكري,0.8710416555404663,180
أبو حنش التغلبي,0.8709018230438232,181
ثعلبة المازني,0.8705525398254395,180
بدر الفزاري,0.8703240752220154,178
سلامة بن جندل,0.8701589703559875,193
الممزق العبدي,0.8700827360153198,179
بيهس الفزاري,0.8697040677070618,180
نهيكة الفزاري,0.8697031140327454,178
أم الأغر بنت ربيعة التغلبية,0.8694425225257874,183
يزيد بن مجالد الفزاري,0.8689115643501282,179
تماضر بنت الشريد,0.8684669733047485,189
ابن عمرو الكندي,0.8681427240371704,188
الهجرس التغلبي,0.8672594428062439,177
ابن الأطنابة,0.8668228387832642,191
النابغة الغنوي,0.8668199777603149,178
أبو عدي النمري,0.8666905760765076,178
النابغة التغلبي,0.8666558861732483,177
المثلم الفزاري,0.8663942217826843,177
ابن كلاب العقيلي,0.865741491317749,177
أبو حسان الفزاري,0.865741491317749,177
الحارث الحضرمي,0.8656242489814758,177
جابر المري,0.864882230758667,177
المحيا الهمداني,0.864882230758667,177
المعان بن روق,0.8641405701637268,177
هند الفزارية,0.8641047477722168,178
الأعرج المري,0.8637081384658813,177
امرؤ القيس الزهيري,0.8636825680732727,177
أربد الذبياني,0.8633304834365845,179
أبو سلمى ربيعة المزني,0.8631524443626404,183
العوراء الذبيانية,0.8626298904418945,179
الوقي الهمداني,0.8624985814094543,179
هند بنت الخس,0.8623234033584595,178
الأشعث الجاشي,0.8617255687713623,177
الربيع بن أبي الحقيق,0.861194372177124,184
الخنساء بنت التيجان,0.860945999622345,178
جبار الفزاري,0.8608366847038269,175
أبو الفضل الكناني,0.8607375025749207,180
الحكم الفزاري,0.8590944409370422,174
السلكة أم السليك,0.8589792251586914,186
الجندل الفزاري,0.8576339483261108,176
هبل الكلبي,0.8574546575546265,179
الجيداء بنت زاهر الزبيدية,0.8569011688232422,188
برة بنت عبد المطلب,0.8549684882164001,179
ابن شعواء الفزاري,0.8547645211219788,173
يزيد بن الرومي العتكي,0.8529549837112427,186
الحارث بن مر,0.8525732755661011,178
أميمة بنت أمية,0.8524478077888489,181
الأشتر الحمامي,0.8486096858978271,174
الأسود النهشلي,0.8454875946044922,77
الجراح الهمداني,0.8442455530166626,168
العجلان بن خليد,0.8424599170684814,170
الحارث بن زهير,0.842214822769165,171
النوار الجل,0.8415234088897705,176
أوس العبدي,0.838254988193512,171
ابنة حكيم بن عمرو العبدية,0.8379846811294556,170
تنها بنت قرط العبدية,0.8375208973884583,135
هناءة بن مالك الأزدي,0.8367270827293396,107
العنبر الخضم,0.8344404697418213,160
الهبل بن عامر,0.8315853476524353,86
ضمرة بن ضمرة,0.8297980427742004,46
أبو الذيال اليهودي,0.8297674059867859,73
أم موسى الكلابية,0.8251640796661377,45
الأخضر الفزاري,0.8224563598632812,162
الربيع بن زياد الكلبي,0.8211489915847778,133
جبار بن قرط,0.8206419348716736,52
أميمة بنت عبد المطلب,0.816582977771759,30
البسوس بنت منقذ التميمية,0.8164457678794861,36
بشير بن النكث,0.8146501183509827,55
أم الضحاك المحاربية,0.8137307167053223,15
أبو حية الفزاري,0.8125292062759399,154
آمنة بنت عتيبة,0.8118599653244019,47
هند بنت معبد,0.8106359243392944,10
ثعلبة بن بكر الأزدي,0.8032249212265015,25
الكذاب الكلبي,0.800508975982666,7
وهيبة بنت عبد العزى,0.7989411950111389,9
أبو حمضة اليهودي,0.796262264251709,13
العوراء اليربوعية,0.7913228869438171,4
الأشعث بن عابس,0.7910149097442627,8
الأدير الكلبي,0.7884193658828735,5
أروى بنت الحباب,0.7859126925468445,2
الربيع بن عقيل,0.7854902744293213,3
هشام المري,0.7848812341690063,74
أعشى باهلة,0.7796350717544556,2
أم النحيف,0.7788529992103577,0
أبو قيس بن رفاعة,0.7778879404067993,6
الهيبان الفهمي,0.7763874530792236,0
الهيفاء بنت صبيح القضاعية,0.7734835147857666,0
ابن فكهة,0.7662624716758728,1
جابر المرني,0.7638945579528809,0
هند الضبابية,0.7540483474731445,0
أخت الأسود بن غفار,0.7509883642196655,0
الهدم بن امرئ القيس,0.7481617331504822,1
الكذاب الطابخي,0.747409999370575,0
آمنة بنت وهب,0.7416132092475891,0
أميمة بنت عبد شمس,0.7414811253547668,0
ثعلبة بن عامر,0.7341064214706421,0
الراعي المري,0.7302102446556091,0
أبو عفك,0.7288011312484741,0
الأعور بن عمرو الازدي,0.7272034287452698,0
أوس بن حارثة,0.7143279910087585,0
ياسر الخيبري,0.7085484862327576,0
وجيهة الضبية,0.7073569297790527,0
الربيع بن زياد العبسي,0.7022114396095276,4
أربد بن ضابئ,0.7021489143371582,0
الحارث بن الحصين,0.6960721015930176,0
الراشاء بن نهار,0.6849654912948608,0
بغثر بن لقيط الأسدي,0.6810518503189087,0
بسام بن شريح,0.6807560920715332,0
بلعاء بن قيس الكناني,0.680415153503418,4
هند الأيادية,0.6684242486953735,0
ذو الإصبع العدواني,0.6385472416877747,3
الهذيل بن أم عفاش,0.6234474182128906,0
الغطمش الضبي,0.5239723324775696,0
صيفي الأسلت,0.4995918869972229,2
هني الكناني,0.48144909739494324,0
ورقاء بن زهير,0.4692072570323944,0
الحارث بن ظالم المري,0.46307674050331116,1
هند السدوسية,0.44947361946105957,0
القعقاع بن شبث اليهودي,0.4395484924316406,0
المثلم بن قرط البلوي,0.4384690225124359,0
الهذلول بن كعب,0.40429046750068665,0
المثلم بن عمرو التنوخي,0.3976866900920868,0
المرار الكلبي,0.394582599401474,0
الدعجاء بنت وهب,0.3840235471725464,0
الدحداحة الفقيمية,0.37290138006210327,0
وداك المازني,0.36114302277565,0
هزيلة الجديسية,0.34043776988983154,0
الدهنا بنت مسحل,0.33451059460639954,0
أزبر بن غزي,0.3091834485530853,0
يزيد بن قنافة,0.30865442752838135,0
الخنساء بنت زهير,0.30675721168518066,0
هلال بن رزين,0.2997871935367584,0
أبو أذينه,0.2993171811103821,0
المسجاح الضبي,0.2963830828666687,0
الجوزاء بنت عروة البصرية,0.29420387744903564,0
الأحبش التميمي,0.25808677077293396,0
هند بنت ابن عامر الأسلمي,0.1827428787946701,0
الفارعة بنت معاوية,0.17940831184387207,0
