poet_name,poem_count,total_words,total_verses,avg_words_per_poem,avg_verses_per_poem
عدي بن زيد,157,7321,1567,46.63057324840764,9.980891719745223
عنترة بن شداد,142,16745,3495,117.9225352112676,24.612676056338028
الخنساء,99,8863,1908,89.52525252525253,19.272727272727273
النابغة الذبياني,80,6656,1378,83.2,17.225
دريد بن الصمة,73,3719,764,50.945205479452056,10.465753424657533
الأسود النهشلي,71,3378,710,47.57746478873239,10.0
زيد الخيل الطائي,66,2517,523,38.13636363636363,7.924242424242424
امرؤ القيس,64,8541,1771,133.453125,27.671875
تأبط شراً,55,3621,744,65.83636363636364,13.527272727272727
حاتم الطائي,54,3852,758,71.33333333333333,14.037037037037036
أوس بن حجر,53,5206,1075,98.22641509433963,20.28301886792453
زهير بن أبي سلمى,53,8675,1788,163.67924528301887,33.735849056603776
بشر بن أبي خازم,51,7207,1568,141.31372549019608,30.745098039215687
عدي بن ربيعة,51,4073,884,79.86274509803921,17.333333333333332
الطفيل الغنوي,50,3920,796,78.4,15.92
المتلمس الضبعي,45,2078,423,46.17777777777778,9.4
عمرو بن كلثوم,43,2552,574,59.348837209302324,13.348837209302326
عروة بن الورد,37,2337,468,63.16216216216216,12.64864864864865
طرفة بن العبد,34,4102,872,120.6470588235294,25.647058823529413
عمرو بن قميئة,33,2416,530,73.21212121212122,16.060606060606062
أحيحة بن الجلاح,32,2606,560,81.4375,17.5
المسيب بن علس,31,1851,440,59.70967741935484,14.193548387096774
حاجز الأزدي,29,1314,296,45.310344827586206,10.206896551724139
الأفوة الأودي,28,1936,410,69.14285714285714,14.642857142857142
الشنفرى,26,2343,480,90.11538461538461,18.46153846153846
سلامة بن جندل,25,2225,403,89.0,16.12
علقمة الفحل,24,2050,424,85.41666666666667,17.666666666666668
زبان بن سيار الفزاري,23,784,160,34.08695652173913,6.956521739130435
بلعاء بن قيس الكناني,23,611,122,26.565217391304348,5.304347826086956
المثقب العبدي,22,1922,428,87.36363636363636,19.454545454545453
صيفي الأسلت,20,1307,288,65.35,14.4
المرقش الأكبر,20,1770,380,88.5,19.0
الحارث بن ظالم المري,20,1030,219,51.5,10.95
ذو الإصبع العدواني,20,1850,411,92.5,20.55
الحصين بن حمام الفزاري,18,1295,270,71.94444444444444,15.0
ابن العجلان النهدي,18,735,158,40.833333333333336,8.777777777777779
السليك بن السلكة,17,538,114,31.647058823529413,6.705882352941177
الحارث بن حلزة,17,1616,356,95.05882352941177,20.941176470588236
